BANCO MACRO S.A.;AV. PTE. PERON 2320 PB Y ANTARTIDA ARGENTINA;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4600AJK;;;;NO;-23.809219;-64.787965;JUJUY;ATM;1
BANCO MACRO S.A.;SANTA FE PB Y CATAMARCA;CAIMANCITO;Y4600AJK;;;;NO;-23.739705;-64.591548;JUJUY;ATM;1
BANCO DE GALICIA Y BUENOS AIRES S.A.U.;JUJUY 400;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512DRH;;;;NO;-23.815436;-64.795851;JUJUY;ATM;1
BANCO DE LA NACION ARGENTINA;JUJUY 346;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512DRH;;;;NO;-23.814735;-64.793383;JUJUY;ATM;1
BANCO DE LA NACION ARGENTINA;JUJUY 346;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512DRH;3885;421791;;SI;-23.814735;-64.793383;JUJUY;Sucursal;0
BANCO DE LA NACION ARGENTINA;JUJUY 346;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512DRH;;;;NO;-23.81474;-64.793383;JUJUY;ATM;1
BANCO DE LA NACION ARGENTINA;JUJUY 346;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512DRH;;;;NO;-23.81474;-64.79338;JUJUY;ATM;1
BANCO MACRO S.A.;SIXTO OVEJERO PB Y SNOPEK;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512HLF;;;;NO;-23.815999;-64.792471;JUJUY;ATM;1
BANCO MACRO S.A.;SIXTO OVEJERO 278 PB Y SNOPEK;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512HLF;;;;NO;-23.815999;-64.792471;JUJUY;ATM;1
BANCO MACRO S.A.;SIXTO OVEJERO 293 PB Y SNOPEK;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512HLF;;;;NO;-23.81604;-64.79256;JUJUY;ATM;1
BANCO MACRO S.A.;JACARANDA 655/667 PB;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512DFO;;;;NO;-23.818181;-64.797414;JUJUY;ATM;1
BANCO MACRO S.A.;JACARANDA 655/667 PB;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512DFO;3886;421869 int 0;421869;SI;-23.818181;-64.797414;JUJUY;Sucursal;0
BANCO SANTANDER RIO S.A.;AVENIDA LIBERTAD 569 PB DPTO: 1;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512ECF;;;;NO;-23.818346;-64.792747;JUJUY;ATM;1
BANCO SANTANDER RIO S.A.;AVENIDA LIBERTAD 569 PB DPTO: 1;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512ECF;3866;433586 int 1002;433587;SI;-23.818346;-64.792747;JUJUY;Sucursal;0
HSBC BANK ARGENTINA S.A.;BUENOS AIRES Y ARRIETA;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512XAT;3886;433502;;NO;-23.827553;-64.789982;JUJUY;ATM;1
BANCO MACRO S.A.;HIPOLITO YRIGOYEN 153 PB;EL TALAR;A4126XAB;;;;NO;-23.166024;-62.900272;JUJUY;ATM;1
BANCO MACRO S.A.;AV. LIBERTADOR 186 PB;YALA;Y4600AJK;;;;NO;-24.12167;-65.40438;JUJUY;ATM;1
BANCO MACRO S.A.;BELGRANO PB Y ARGAÑARAZ;FRAILE PINTADO;Y4506ABN;;;;NO;-23.93951825;-64.79984162;JUJUY;ATM;1
BANCO MACRO S.A.;AV. BELGRANO 186 PB;FRAILE PINTADO;Y4506ABO;;;;NO;-23.93951825;-64.79984162;JUJUY;ATM;1
BANCO MACRO S.A.;JORGE CAFRUNE 3261 PB;YALA;Y4600XAI;;;;NO;-24.164923;-65.386604;JUJUY;ATM;1
BANCO MASVENTAS S.A.;BALCARCE 223;SAN SALVADOR DE JUJUY;Y4600ECE;;;;NO;-24.111098;-65.181856;JUJUY;ATM;1
BANCO MASVENTAS S.A.;BALCARCE 223;SAN SALVADOR DE JUJUY;Y4600ECE;387;4236866 int 20;4236866;SI;-24.111098;-65.181856;JUJUY;Sucursal;0
BANCO MACRO S.A.;AV. ARTURO ILLIA 426 PB;SAN SALVADOR DE JUJUY;Y4600AJK;;;;NO;-24.16918;-65.3185;JUJUY;ATM;1
BANCO MACRO S.A.;AV. HUMBERTO ILLIA 211 PB;SAN SALVADOR DE JUJUY;Y4602CHE;;;;NO;-24.169418;-65.317;JUJUY;ATM;1
BANCO MACRO S.A.;AV. BOLIVIA 1711 PB;SAN SALVADOR DE JUJUY;Y4600GNF;;;;NO;-24.178827;-65.329278;JUJUY;ATM;1
BANCO MACRO S.A.;AV. MOSCONI PB Y LAS VICUNIAS;SAN SALVADOR DE JUJUY;Y4600AJK;;;;NO;-24.176006;-65.298424;JUJUY;ATM;1
BANCO MACRO S.A.;SALTA 1396 PB;SAN SALVADOR DE JUJUY;Y4600ARP;;;;NO;-24.182128;-65.312767;JUJUY;ATM;1
BANCO MACRO S.A.;DR. CARRILLO 371 PB;SAN SALVADOR DE JUJUY;Y4604FRG;;;;NO;-24.187088;-65.319923;JUJUY;ATM;1
BANCO MACRO S.A.;GRAL. GUEMES 948 PB;SAN SALVADOR DE JUJUY;Y4600APG;;;;NO;-24.183097;-65.306287;JUJUY;ATM;1
